Name,Longitude,Latitude
E01004766,-2.436782,53.599513
E01004767,-2.428454,53.599547
E01004768,-2.440692,53.613046
E01004769,-2.425992,53.611292
E01004770,-2.42337,53.605679
E01004771,-2.434531,53.609892
E01004772,-2.443297,53.606054
E01004773,-2.431073,53.605042
E01004774,-2.437312,53.603938
E01004775,-2.517043,53.577109
E01004776,-2.526164,53.559844
E01004777,-2.552166,53.597326
E01004778,-2.586669,53.595464
E01004779,-2.558034,53.596184
E01004780,-2.570806,53.592637
E01004781,-2.532764,53.586953
E01004782,-2.582823,53.592616
E01004783,-2.573085,53.585496
E01004784,-2.386948,53.596877
E01004785,-2.389013,53.594098
E01004786,-2.393278,53.598952
E01004787,-2.385717,53.589421
E01004788,-2.398072,53.609324
E01004789,-2.392099,53.609333
E01004790,-2.404466,53.605768
E01004791,-2.389451,53.603181
E01004792,-2.379348,53.598908
E01004793,-2.390205,53.586756
E01004794,-2.396052,53.590866
E01004795,-2.381709,53.584678
E01004796,-2.390949,53.580282
E01004797,-2.39414,53.583964
E01004798,-2.384704,53.577744
E01004799,-2.37912,53.576978
E01004800,-2.377646,53.572948
E01004801,-2.392219,53.574897
E01004802,-2.414095,53.599663
E01004803,-2.442067,53.630609
E01004804,-2.436556,53.626797
E01004805,-2.415749,53.619834
E01004806,-2.412755,53.614254
E01004807,-2.426018,53.62006
E01004808,-2.431348,53.619985
E01004809,-2.422843,53.616351
E01004810,-2.409399,53.606345
E01004811,-2.423679,53.564205
E01004812,-2.41682,53.56362
E01004813,-2.428605,53.561136
E01004814,-2.403971,53.557993
E01004815,-2.423457,53.561599
E01004816,-2.417014,53.559556
E01004817,-2.417792,53.573001
E01004818,-2.416715,53.577846
E01004819,-2.411057,53.573155
E01004820,-2.435266,53.590269
E01004822,-2.431436,53.590483
E01004823,-2.436787,53.583798
E01004824,-2.429192,53.594484
E01004825,-2.434794,53.594007
E01004826,-2.440445,53.59256
E01004827,-2.453659,53.568418
E01004828,-2.451863,53.566485
E01004829,-2.448233,53.565238
E01004830,-2.45515,53.560752
E01004831,-2.461385,53.558156
E01004832,-2.451029,53.559657
E01004833,-2.457969,53.556061
E01004834,-2.458825,53.56774
