Name,Longitude,Latitude
E02001041,-2.273,53.532
E02001042,-2.281,53.527
E02001043,-2.298,53.525
E02001044,-2.262,53.523
E02001046,-2.214,53.526
E02001047,-2.188,53.524
E02001048,-2.249,53.531
E02001049,-2.173,53.515
E02001050,-2.218,53.516
E02001051,-2.194,53.514
E02001052,-2.235,53.511
E02001053,-2.208,53.504
E02001055,-2.187,53.497
E02001056,-2.177,53.489
E02001057,-2.214,53.485
E02001059,-2.191,53.48
E02001061,-2.168,53.471
E02001062,-2.219,53.469
E02001063,-2.243,53.463
E02001064,-2.193,53.464
E02001065,-2.159,53.463
E02001066,-2.213,53.458
E02001067,-2.176,53.456
E02001068,-2.248,53.455
E02001069,-2.231,53.453
E02001070,-2.214,53.451
E02001071,-2.188,53.45
E02001072,-2.261,53.451
E02001073,-2.279,53.445
E02001074,-2.242,53.445
E02001075,-2.187,53.443
E02001076,-2.217,53.443
E02001077,-2.268,53.439
E02001078,-2.195,53.437
E02001079,-2.243,53.437
E02001080,-2.215,53.436
E02001081,-2.283,53.433
E02001082,-2.234,53.43
E02001083,-2.25,53.429
E02001084,-2.222,53.427
E02001085,-2.205,53.428
E02001086,-2.26,53.423
E02001129,-2.164,53.509
E02001131,-2.159,53.5
E02001164,-2.309,53.514
E02001166,-2.258,53.512
E02001167,-2.278,53.51
E02001168,-2.335,53.505
E02001171,-2.321,53.502
E02001172,-2.26,53.502
E02001173,-2.286,53.498
E02001174,-2.309,53.497
E02001176,-2.343,53.49
E02001177,-2.314,53.485
E02001178,-2.264,53.487
E02001179,-2.298,53.487
E02001180,-2.285,53.486
E02001182,-2.345,53.48
E02001184,-2.283,53.474
E02001187,-2.154,53.445
E02001188,-2.166,53.443
E02001238,-2.133,53.488
E02001239,-2.151,53.485
E02001240,-2.162,53.484
E02001242,-2.136,53.472
E02001252,-2.142,53.456
E02001259,-2.268,53.463
E02001260,-2.34,53.468
E02001261,-2.297,53.458
E02001262,-2.279,53.455
E02001264,-2.314,53.46
E02001266,-2.328,53.447
E02001269,-2.303,53.444
E02006902,-2.235,53.486
E02006912,-2.231,53.478
E02006913,-2.232,53.497
E02006914,-2.243,53.471
E02006915,-2.246,53.499
E02006916,-2.259,53.47
E02006917,-2.252,53.476
