Name,Longitude,Latitude
Manchester College - Openshaw Campus,-2.1875,53.472432
Manchester College - Harpurhey Campus (sixth form centre),-2.213174,53.513955
Manchester College - Manchester School of Building,-2.183352,53.472132
Manchester College - Nicholls Campus,-2.217848,53.469233
Manchester College - Shena Simon Campus,-2.235309,53.476391
Manchester College - Wythenshawe Campus,-2.256003,53.387813
Manchester College - Northenden Campus,-2.272631,53.408783
Kirklees College - Huddersfield Centre,-1.880017,53.620834
Kirklees College - Dewsbury Centre,-1.636465,53.696497
Kirklees College - Springfield Sixth Form Centre,-1.631354,53.695146
Kirklees College - Engineering Centre/Process Manufacturing Centre,-1.77213,53.648084
Kirklees College - Brunel Construction Centre,-1.759597,53.662977
Kirklees College - Hargate Hill Equestrian Centre,-1.981991,53.437953
Kirlees College - Taylor Hill Centre (animal care),-1.793471,53.628888
Hopwood Hall College - Middleton Campus,-2.188821,53.568615
Hopwood Hall College - Rochdale Campus,-2.162461,53.61716
Salford City College - City Skills campus,-2.276562,53.491741
Salford City College - Eccles Sixth Form College,-2.337445,53.494837
Salford City College - Pendleton Sixth Form College,-2.303734,53.495355
Salford City College - Worsley College,-2.395724,53.516947
Salford City College - FutureSkills at MediaCityUK,-2.295146,53.476995
Tameside College - Main campus,-2.079775,53.488555
Tameside College - Clarendon Sixth Form College,-2.09341,53.490221
Trafford College - Centre for Science and Technology,-2.288785,53.457406
Trafford College - Altrincham Campus,-2.348759,53.405032
Wigan and Leigh College - Main Campus,-2.635764,53.549155
Wigan and Leigh College - Engineering and Construction Centre of Excellence,-2.639184,53.555747
St Helens College - Town Centre Campus,-2.741131,53.453102
St Helens College - STEM Centre,-2.726858,53.456711
Warrington and Vale Royal College - Warrington Campus,-2.594672,53.407005
Warrington and Vale Royal College - Winsford Campus,-2.518678,53.191576
Warrington and Vale Royal College - Hartford Campus,-2.539119,53.249661
