Name,masterpc,Latitude,Longitude
S00090012,AB16 7RJ,57.164331,-2.1707456
S00089193,AB15 4AR,57.139402,-2.143054
S00094680,PA34 4NP,56.404711,-5.4622774
S00115820,G69 6NW,55.853018,-4.1273578
S00114876,G43 1RQ,55.827738,-4.2970944
S00095943,FK10 3NX,56.127108,-3.7743511
S00104474,EH7 6DH,55.961277,-3.154252
S00106678,EH30 9XE,55.989666,-3.4167346
S00124191,ML1 3TU,55.804448,-4.0034196
S00101863,EH21 6SB,55.939225,-3.068906
S00126518,PH1 1JS,56.395939,-3.4672235
S00094496,PA31 8TQ,56.037449,-5.4276779
S00109293,KY11 1NU,56.029635,-3.3969196
S00126020,KW15 1AE,58.98277,-2.962167
S00106907,EH3 6NW,55.957549,-3.1946965
S00106596,EH12 7SA,55.937189,-3.2976791
S00131027,ML8 5SF,55.700575,-3.8701999
S00106126,EH15 3EE,55.941747,-3.1118034
S00102400,EH33 2AP,55.934727,-2.9570345
S00116949,G20 7EF,55.880847,-4.2718669
S00124722,ML5 2RH,55.897501,-4.0550796
S00125712,ML2 0HF,55.772426,-3.9293614
S00111354,KY6 3HS,56.204902,-3.2307655
S00111650,KY11 8HU,56.058355,-3.4109822
S00134808,EH55 8TP,55.859529,-3.5604408
S00098264,DG8 6HG,54.958583,-4.4850124
S00097325,DG6 4PU,54.864815,-4.0817984
S00106546,EH8 9BJ,55.945902,-3.1865877
S00132788,ML3 8LS,55.768988,-4.0683338
S00132134,ML3 0DA,55.779417,-4.0530993
S00109765,KY12 9JW,56.083792,-3.5360224
S00121939,KA11 4EW,55.608862,-4.6209382
S00118677,IV2 7QB,57.571233,-4.0385075
S00118240,IV40 8AL,57.281535,-5.7119318
S00104608,EH8 7TD,55.953512,-3.1370766
S00130848,ML11 0BD,55.630462,-3.8764843
S00094401,G84 7NY,56.00283,-4.7324359
S00109167,KY11 9SW,56.033634,-3.3460279
S00111754,KY11 2HS,56.032309,-3.4247322
S00135218,HS1 2UL,58.213279,-6.3603908
S00096249,FK14 7BW,56.170794,-3.6669331
S00103921,EH4 8BA,55.958614,-3.3015996
S00105104,EH11 1QN,55.934474,-3.2312359
S00097404,DG8 8HW,54.739329,-4.3722872
S00128348,PA8 6DE,55.90702,-4.4700555
S00103293,G76 8NG,55.778705,-4.2630469
S00114728,G42 8YU,55.835966,-4.2653831
S00120068,PA16 0TY,55.945985,-4.8158874
S00123912,ML5 4EA,55.850647,-4.020638
S00127134,PH6 2DB,56.375485,-3.9860743
S00111859,KY5 9BJ,56.12218,-3.3123791
S00110204,KY2 6NE,56.125684,-3.190011
S00114307,G34 9BQ,55.866378,-4.123901
S00134268,EH48 3NG,55.901243,-3.7034321
S00106693,EH4 4QU,55.966913,-3.2578679
S00089602,AB24 2TA,57.169087,-2.1114857
S00090792,AB16 7AL,57.164189,-2.1480439
S00120077,PA16 0XE,55.934476,-4.8309054
S00110060,KY2 5PY,56.114602,-3.1734096
S00109367,KY11 3PA,56.060093,-3.4471009
S00125079,G65 0EN,55.974168,-4.0464513
S00126433,PH7 3SS,56.372467,-3.8234535
S00112199,G3 6DY,55.868449,-4.2657402
S00127224,PH2 9RG,56.34332,-3.4013275
S00094210,PA20 9HQ,55.834685,-5.0516455
S00095515,TD2 6QD,55.722426,-2.7593593
S00094860,TD14 5JL,55.850779,-2.1637352
S00116272,G51 4RT,55.863672,-4.3295497
S00117263,G41 1RN,55.84197,-4.2663713
S00094654,G84 8SA,56.020107,-4.7813857
S00096233,FK13 6AG,56.152833,-3.7467986
S00095974,FK10 2RJ,56.13289,-3.8356211
S00107639,FK1 2JP,55.924521,-3.7719465
S00107117,EH7 4NJ,55.962143,-3.1861397
S00105492,EH12 7QL,55.938069,-3.291753
S00123098,KA13 6UE,55.657786,-4.7123396
S00134481,EH48 4LZ,55.934917,-3.6531206
S00110076,KY2 5BP,56.120504,-3.1582606
S00109148,KY11 9UN,56.038488,-3.359728
S00097757,DG12 6RY,54.985693,-3.2425882
S00092862,AB42 5GP,57.523765,-2.0098862
S00124923,G67 4AJ,55.927251,-4.0397189
S00102347,EH39 4JB,56.05884,-2.7185875
S00118649,IV9 8PS,57.566606,-4.1773647
S00120118,PA14 5DH,55.928825,-4.6876273
S00124942,G67 4DW,55.934044,-4.0261954
S00123447,ML6 8BL,55.861657,-3.947606
S00123368,ML6 6GZ,55.874042,-3.9745375
S00111649,KY11 8SY,56.049636,-3.4159783
S00109285,KY11 1BN,56.032992,-3.4019999
S00097723,DG12 5EH,54.992351,-3.255861
S00097806,DG1 2HU,55.066561,-3.6015264
S00104913,EH10 4LA,55.937753,-3.2095997
S00094357,G84 0NS,56.003732,-4.8528636
S00107508,EH16 5PH,55.929985,-3.169119
S00124423,ML2 7QB,55.778812,-3.9387662
S00110123,KY2 6TZ,56.123894,-3.2022617
S00096680,G82 4NH,55.972025,-4.5863443
S00128594,PA1 3SQ,55.851504,-4.406471
S00124529,ML2 8RT,55.788432,-3.9074723
S00103260,G77 5RB,55.767941,-4.3092467
S00101110,G64 1SH,55.90417,-4.2020859
S00130399,G73 3HA,55.823573,-4.2050321
S00113620,G23 5DF,55.898717,-4.2716801
S00134179,EH47 7DE,55.875182,-3.6223044
S00094416,G84 8BL,56.005077,-4.7392843
S00106601,EH3 7HL,55.949324,-3.2152611
S00127583,PA3 3LT,55.847714,-4.509746
S00102675,G78 2BY,55.797447,-4.3892052
S00127261,PH1 2UF,56.411142,-3.4702723
S00116317,G53 7SQ,55.831633,-4.3670766
S00117014,G21 2QG,55.871277,-4.2250315
S00108974,FK4 2DP,55.993667,-3.8919005
S00103339,EH1 3AT,55.953914,-3.1878419
S00127674,PA1 1TF,55.839495,-4.4143538
S00125753,G67 2AL,55.951524,-3.9797622
S00126375,PH3 1AD,56.295353,-3.7092291
S00101431,G66 4UG,55.921277,-4.1735585
S00102975,G46 6BP,55.81014,-4.2846139
S00116772,G12 0FA,55.891366,-4.3193424
S00133098,FK7 7QE,56.113255,-3.9304809
S00103882,EH4 7BT,55.95731,-3.2828316
S00103712,EH4 4PD,55.972395,-3.259472
S00106345,EH17 7NJ,55.916085,-3.1374046
S00105321,EH11 4HX,55.920179,-3.2985508
S00097118,DG16 5HD,54.99589,-3.0881805
S00125025,G65 9HG,55.960744,-4.0441244
S00102375,EH21 6DQ,55.944605,-3.065964
S00117004,G21 2JH,55.867397,-4.2264238
S00121066,EH22 5QZ,55.865536,-3.0362172
S00105034,EH10 6HW,55.91355,-3.2118856
S00126973,PH15 2BL,56.618507,-3.8705215
S00115660,G53 5AU,55.829485,-4.3520956
S00104028,EH5 2ET,55.970557,-3.2261332
S00121359,IV30 1SA,57.647107,-3.331503
S00115128,G44 5QB,55.817223,-4.2341558
S00118451,IV3 5HQ,57.475732,-4.2412904
S00103674,EH4 3EJ,55.95332,-3.2318502
S00127828,PA2 6TZ,55.830942,-4.4068451
S00113235,G20 8EZ,55.886755,-4.2929851
S00130485,G73 5LA,55.805802,-4.189633
S00110509,KY8 3DB,56.183467,-3.0223759
S00097802,DG1 2HJ,55.067395,-3.5975193
S00111046,KY15 4HT,56.323063,-3.0049872
S00110989,KY10 3UU,56.260942,-2.6313101
S00109703,KY3 9RG,56.065291,-3.1790423
S00122622,KA25 7HS,55.760539,-4.6836045
S00135164,HS2 0PB,58.208116,-6.2765275
S00097027,G60 5EN,55.917141,-4.4439395
S00097160,DG11 3JH,55.072383,-3.2649765
S00124538,ML2 8SU,55.792797,-3.910541
S00111790,KY11 8DW,56.059765,-3.4375329
S00122623,KA25 7HR,55.761132,-4.6844105
S00099855,KA3 6BB,55.676446,-4.4572785
S00100344,KA3 2JA,55.631796,-4.4883075
S00093005,DD8 3HG,56.649431,-2.9059506
S00093620,DD10 8LL,56.716546,-2.4690334
S00127543,PA5 0RW,55.819216,-4.5275626
S00123883,ML5 4RH,55.85476,-4.0049062
S00102791,G76 0BB,55.737956,-4.2819223
S00101729,G66 7GB,55.974811,-4.2090326
S00113994,G32 9TU,55.844961,-4.1590407
S00112845,G13 3PP,55.892702,-4.3498589
S00107009,EH6 5EE,55.967132,-3.1756062
S00121033,EH19 3NS,55.872728,-3.0939439
S00107315,EH11 1DL,55.939547,-3.2207664
S00089784,AB25 2TB,57.149603,-2.1110634
S00095023,EH46 7AH,55.684485,-3.3877043
S00094824,TD11 3RH,55.81865,-2.3257419
S00106663,EH17 7JJ,55.912587,-3.1444855
S00127509,PA5 0SN,55.816703,-4.5339447
S00101370,G66 2DX,55.940538,-4.1406098
S00104834,EH9 3EY,55.925235,-3.1828673
S00111442,KY8 6AF,56.213403,-2.9527945
S00123018,KA20 4JE,55.648079,-4.739788
