Name,masterpc,Latitude,Longitude
S34000001,AB10 1SP,57.144394,-2.1097588
S34000002,AB10 1SA,57.14471,-2.1082063
S34000003,AB10 1HF,57.146891,-2.0988258
S34000004,AB10 1JZ,57.147574,-2.0995714
S34000005,AB10 1BD,57.147351,-2.0966952
S34000006,AB10 1LB,57.14751,-2.101009
S34000007,AB11 5PW,57.144967,-2.090178
S34000008,AB11 5PH,57.14406,-2.0886389
S34000009,AB11 5PG,57.14305,-2.0812997
S34000010,AB12 3LG,57.114123,-2.0839275
S34000011,AB12 3HL,57.126076,-2.0894217
S34000012,AB12 3LE,57.115456,-2.0786301
S34000013,AB12 3HB,57.124308,-2.0872208
S34000014,AB21 0LL,57.20099,-2.2125226
S34000015,AB21 0GD,57.204973,-2.2156242
S34000016,AB21 7DU,57.203015,-2.1933348
S34000017,AB21 0GQ,57.204577,-2.2102922
S34000018,AB21 0GP,57.211422,-2.2161254
S34000019,AB21 0GL,57.20334,-2.2192891
S34000020,AB21 7HG,57.198532,-2.1812138
S34000021,AB10 1XE,57.143525,-2.1177045
S34000022,AB10 1YN,57.142754,-2.1248406
S34000023,AB15 4ZT,57.142604,-2.1306236
S34000024,AB10 1RJ,57.14693,-2.1062462
S34000025,AB10 1RB,57.146428,-2.1049227
S34000026,AB10 1NN,57.147183,-2.1053215
S34000027,AB10 1PR,57.145369,-2.1043578
S34000028,AB10 1AJ,57.148707,-2.097806
S34000029,AB11 6DJ,57.142735,-2.1064159
S34000030,AB11 6DL,57.142716,-2.1077709
S34000031,AB11 6DE,57.14164,-2.1057683
S34000032,AB11 6BT,57.143686,-2.1077572
S34000033,AB11 6JJ,57.145119,-2.1019609
S34000034,AB11 6LT,57.144456,-2.0997117
S34000035,AB11 5RH,57.141345,-2.0922511
S34000036,AB11 6LX,57.143865,-2.0982559
S34000037,AB11 5RG,57.143318,-2.0971143
S34000038,AB11 5RL,57.139124,-2.0954675
S34000039,AB11 5PJ,57.144397,-2.0950349
S34000040,AB11 5QL,57.140922,-2.0938694
S34000041,AB11 6BD,57.146605,-2.098131
S34000042,AB11 6BE,57.145345,-2.100656
S34000043,AB12 3AW,57.123378,-2.0929
S34000044,AB12 3AS,57.125219,-2.0939451
S34000045,AB12 3BE,57.121708,-2.0917232
S34000046,AB11 5FE,57.147421,-2.0880025
S34000047,AB11 5EJ,57.149203,-2.0826188
S34000048,AB11 5DE,57.145439,-2.0824452
S34000049,AB51 5TB,57.257248,-2.3746414
S34000050,AB51 5GT,57.255558,-2.3781381
S34000051,AB12 4YB,57.069578,-2.1568688
S34000052,AB12 4YT,57.070928,-2.1619541
S34000053,AB32 6FG,57.147357,-2.2746019
S34000054,AB32 6TQ,57.148636,-2.285354
S34000055,AB32 6JL,57.148405,-2.2994166
S34000056,AB51 3PU,57.283854,-2.3750777
S34000057,AB41 9RD,57.366721,-2.051804
S34000058,AB42 1TE,57.505887,-1.7798191
S34000059,AB43 7ED,57.690581,-2.0327775
S34000060,AB43 9BY,57.693559,-2.0040123
S34000061,AB43 9AQ,57.691412,-2.0057733
S34000062,AB43 9BP,57.691942,-2.0041966
S34000063,AB43 9TB,57.689229,-2.0010599
S34000064,AB42 1JN,57.504925,-1.7743179
S34000065,AB42 1EN,57.503268,-1.7718418
S34000066,AB42 3JF,57.490665,-1.8151913
S34000067,AB42 3JL,57.487279,-1.8039496
S34000068,AB42 3GL,57.487448,-1.8143068
S34000069,DD11 1RP,56.560717,-2.5862971
S34000070,DD8 1TE,56.63582,-2.9157646
S34000071,DD10 9ET,56.731781,-2.4619993
S34000072,DD11 3RD,56.571538,-2.6096724
S34000073,DD11 3LR,56.570852,-2.6103612
S34000074,PA23 7NE,55.948934,-4.9253248
S34000075,PA23 7AF,55.95088,-4.9262887
S34000076,PA31 8RR,56.026733,-5.4256997
S34000077,PA34 4HB,56.408114,-5.4746192
S34000078,PA34 4BW,56.409801,-5.4737839
S34000079,TD6 9BD,55.5936,-2.747951
S34000080,TD7 5EQ,55.556149,-2.838044
S34000081,TD7 5DZ,55.553032,-2.841893
S34000082,TD1 1DR,55.616179,-2.8076656
S34000083,TD1 1BJ,55.617095,-2.8077162
S34000084,TD1 3AU,55.612617,-2.801385
S34000085,TD1 3AT,55.613961,-2.8048099
S34000086,TD1 3HE,55.607703,-2.7832048
S34000087,TD6 0RZ,55.578341,-2.6739202
S34000088,TD1 3RS,55.602801,-2.7553477
S34000089,FK10 3LQ,56.122232,-3.7803523
S34000090,FK10 1PA,56.111134,-3.8008275
S34000091,FK10 1AT,56.11039,-3.7926712
S34000092,G82 3PD,55.968971,-4.5759475
S34000093,G82 1NB,55.942898,-4.5681134
S34000094,G82 1PQ,55.943721,-4.5717875
S34000095,G82 2RJ,55.94872,-4.5712541
S34000096,G82 2RL,55.948259,-4.5675233
S34000097,G81 1TH,55.900793,-4.4055401
S34000098,G81 1BL,55.901807,-4.4060828
S34000099,G81 2RZ,55.904532,-4.4027957
S34000100,G81 1RR,55.901108,-4.3972566
S34000101,G81 2NT,55.907341,-4.4076096
S34000102,G81 2DR,55.906054,-4.4054019
S34000103,G81 2NR,55.90575,-4.4135909
S34000104,G81 4HT,55.90769,-4.4332963
S34000105,DG2 8PN,55.05906,-3.6529902
S34000106,DG9 7EH,54.898692,-5.0223277
S34000107,DG9 7DD,54.895009,-5.0182299
S34000108,DG1 1BS,55.070379,-3.6118434
S34000109,DG1 1DL,55.070551,-3.6137611
S34000110,DG1 1BU,55.070744,-3.6113883
S34000111,DG1 2BN,55.068042,-3.6105436
S34000112,DG1 2HT,55.068926,-3.6047845
S34000113,DG1 2BY,55.068727,-3.6082846
S34000114,DG1 2RP,55.068905,-3.6152609
S34000115,DG11 2SE,55.130562,-3.3626331
S34000116,DG1 3PF,55.075561,-3.5840294
S34000117,DG9 7EJ,54.904741,-5.0245599
S34000118,DG9 8EF,54.904469,-5.0221367
S34000119,DG9 7RB,54.905319,-5.0258983
S34000120,DG1 1ET,55.069128,-3.6092716
S34000121,DG1 2NP,55.069044,-3.6129017
S34000122,DG1 2AG,55.069765,-3.6154679
S34000123,DG1 2QT,55.06901,-3.6114125
S34000124,DG1 2PB,55.067826,-3.6112083
S34000125,DG1 4UQ,55.049818,-3.5905265
S34000126,DG1 4FD,55.046818,-3.5848509
S34000127,DG2 9BF,55.076314,-3.627104
S34000128,DD1 4DE,56.458627,-2.9660828
S34000129,DD1 4EH,56.458474,-2.9730078
S34000130,DD1 1ND,56.461673,-2.9763353
S34000131,DD1 1LY,56.462147,-2.9755036
S34000132,DD1 1QP,56.460326,-2.9773718
S34000133,DD1 1HU,56.462938,-2.973122
S34000134,DD1 1EQ,56.463492,-2.9701662
S34000135,DD1 3BA,56.460615,-2.9692166
S34000136,DD1 3AH,56.459711,-2.9688041
S34000137,DD2 3PZ,56.48025,-3.010389
S34000138,DD4 7RX,56.474831,-2.925374
S34000139,DD4 8LF,56.479551,-2.9248395
S34000140,DD5 3RR,56.483426,-2.8900881
S34000141,DD5 3RU,56.48691,-2.8891142
S34000142,DD1 5HX,56.45924,-2.9874859
S34000143,DD1 1RL,56.461267,-2.971992
S34000144,DD1 1LW,56.462126,-2.9712674
S34000145,DD1 1LX,56.461557,-2.9750827
S34000146,DD1 1UF,56.460093,-2.9716536
S34000147,DD1 1QN,56.458382,-2.9744496
S34000148,DD1 4HQ,56.456639,-2.9812687
S34000149,DD1 4HW,56.458698,-2.9787904
S34000150,DD1 4JE,56.45683,-2.9854925
S34000151,DD1 4QB,56.456174,-2.9787092
S34000152,KA1 1HU,55.610738,-4.4979459
S34000153,KA1 1QR,55.606193,-4.4978156
S34000154,KA1 1LR,55.610166,-4.496004
S34000155,KA1 1NP,55.608837,-4.49638
S34000156,KA1 2BT,55.608056,-4.5016656
S34000157,KA1 2DJ,55.608402,-4.504514
S34000158,KA1 2AD,55.609203,-4.5026914
S34000159,KA1 4BS,55.601485,-4.5003581
S34000160,KA1 4DA,55.598539,-4.502012
S34000161,KA3 7AS,55.610126,-4.4900149
S34000162,KA2 0BD,55.613192,-4.5351678
S34000163,KA1 4AT,55.602308,-4.496108
S34000164,KA1 1EA,55.608399,-4.4989245
S34000165,KA1 1BD,55.608664,-4.4991478
S34000166,KA1 1HN,55.609663,-4.4986556
S34000167,G66 1XJ,55.935249,-4.1558325
S34000168,EH33 1EX,55.944341,-2.8961088
S34000169,EH41 3AE,55.95516,-2.7825524
S34000170,EH21 7UQ,55.936596,-3.0601091
S34000171,EH21 7PQ,55.938433,-3.059615
S34000172,G78 1SW,55.801943,-4.3895126
S34000173,G77 6EZ,55.773055,-4.3329883
S34000174,EH12 9SB,55.935163,-3.3350866
S34000175,EH12 9DN,55.948427,-3.364432
S34000176,EH28 8NB,55.940682,-3.3684184
S34000177,EH16 4SY,55.925658,-3.1408698
S34000178,EH1 1RB,55.949322,-3.189719
S34000179,EH1 2EN,55.947482,-3.2042824
S34000180,EH1 2DH,55.948506,-3.2071006
S34000181,EH1 2BW,55.949022,-3.2094386
S34000182,EH1 2EP,55.949052,-3.2063489
S34000183,EH1 1PT,55.950029,-3.1918545
S34000184,EH1 2NG,55.948763,-3.1991979
S34000185,EH1 3DQ,55.955264,-3.1913107
S34000186,EH1 3AY,55.954736,-3.1901413
S34000187,EH1 3SQ,55.9554,-3.1884159
S34000188,EH1 3BG,55.953789,-3.187758
S34000189,EH1 3AJ,55.956589,-3.1843361
S34000190,EH1 3RJ,55.958063,-3.1889621
S34000191,EH2 2PR,55.95309,-3.1959364
S34000192,EH2 2LR,55.952969,-3.1991357
S34000193,EH2 2BY,55.952938,-3.1930169
